"PID","Sale_Price"
910251050,66018.4103181118
903454090,135755.103272971
528253010,200888.595553068
527183060,222903.012111085
907135180,125779.930880488
906380110,226628.937348026
907192020,185824.724342437
902402150,84929.4352075085
909276170,176547.362223581
906412010,388603.024284621
905452140,145640.466553553
531376030,186859.587030354
534277070,116440.599366136
910202060,118240.687373044
906226080,141928.268851773
903231090,138071.655708979
527359010,176343.680696778
923228370,90257.9718273958
906402060,242373.937154798
903426010,128292.159006644
905200350,156253.896571285
535353130,114830.832342999
907285040,256731.325208712
923252080,119527.204644234
909250160,93234.5023326317
907135230,152113.785791228
907131120,196290.17018798
532476050,259562.153411315
905104110,140725.198355566
528104080,440862.660905939
528181070,223630.908560285
907285020,225723.277266008
534129370,149425.094828967
907401080,208150.015709172
528348030,261502.788359817
905475500,78611.5272301485
903453080,196438.390405921
903232090,146007.143781199
531363080,149464.319893724
528174030,192962.199041019
534129380,129596.024061042
528431020,244815.467973534
532376040,121915.107627426
903201020,126487.44208656
905105170,123612.903167964
533210010,167713.840764713
902201130,116426.331393917
532378220,125257.121407758
902405120,113146.816917683
907414060,187226.915318743
528222020,181608.135341624
923203190,162473.900040212
903233080,156536.919587085
531450120,197194.678854678
907181090,199781.199939767
528166150,337899.922893707
905480160,102749.920896508
534475170,170228.094963799
914478045,150503.204529339
531371070,201450.206259569
527165170,173084.33073517
905202230,202521.563672513
909425180,219472.42484467
528315110,318819.042695311
907192130,221302.012410319
526355190,312091.933000296
909176080,173608.327536337
535353180,202959.903414599
535300040,130030.924232871
905200160,98718.6503789667
528458060,196625.545439536
907254050,203184.429733439
527163040,174333.882579738
531452260,172629.832186211
528222040,196509.305678835
923225360,99055.2194898668
535457040,129879.31692053
904100170,135223.576566374
528218060,174859.856273824
908188150,152238.141687457
534252110,134379.308727279
909281030,132559.205785584
527354050,181509.256199499
909275020,157528.407441388
907414070,184790.876600149
924151040,273747.213180594
903452025,95055.4851769467
528280130,189768.286013844
528181030,196402.798154805
533221030,174079.449773299
533208070,166470.321377932
902207120,86681.2908217798
533205110,218718.982443043
533212110,155042.669010192
923276250,140211.691602114
527183030,208049.313387444
906402200,300035.430253214
527106140,193199.229177267
535383070,117481.180916917
528174040,199592.937122383
903481130,89305.0898051893
528106010,355156.569926623
533223100,149152.360030741
528188090,167798.145972505
526353030,261616.832960202
911103060,104796.349941709
533251120,160148.12566174
533254100,177154.428616859
909426090,149594.734319716
