"PID","Sale_Price"
910251050,61948.8944971158
903454090,136605.312602578
528253010,217289.689680964
527183060,210417.990189833
907135180,139073.460245052
906380110,221268.934623094
907192020,182560.068780732
902402150,97355.5630122824
909276170,196208.777690309
906412010,413405.472628379
905452140,134849.098808292
531376030,181128.943675028
534277070,126535.623167274
910202060,109571.936623291
906226080,131177.384441246
903231090,133151.33397264
527359010,176567.252905833
923228370,93122.8389608988
906402060,258353.12168465
903426010,131134.858862803
905200350,157106.836713982
535353130,117825.184180854
907285040,267277.796344432
923252080,126123.193269802
909250160,104358.645132071
907135230,154353.603668274
907131120,198936.973379245
532476050,267159.748755924
905104110,139102.700118866
528104080,436084.50052703
528181070,216247.865920115
907285020,238845.303085224
534129370,154401.764993875
907401080,210934.651504553
528348030,265701.824163928
905475500,84777.0825794494
903453080,182132.080242321
903232090,151598.28694559
531363080,131807.805738702
528174030,197131.809854305
534129380,143190.193690458
528431020,258268.988673799
532376040,121319.841937251
903201020,131166.655282466
905105170,124550.188317601
533210010,164840.641729985
902201130,121448.564280015
532378220,125774.231369206
902405120,116897.123808567
907414060,183210.352717618
528222020,179532.129614565
923203190,162747.037474344
903233080,150966.061209096
531450120,195582.866872393
907181090,200755.274118583
528166150,351722.633284041
905480160,98362.3190754182
534475170,177230.409339345
914478045,149096.858445385
531371070,194823.435705147
527165170,175526.234319242
905202230,206506.354829423
909425180,222337.267004834
528315110,354719.900558724
907192130,217167.333538307
526355190,282143.371706288
909176080,149950.103822197
535353180,189430.515200155
535300040,131333.097896892
905200160,106919.913575759
528458060,202975.558876347
907254050,203180.18670457
527163040,178392.862679274
531452260,175177.660762328
528222040,202723.727853993
923225360,94607.0411913872
535457040,129686.448507353
904100170,127351.119873612
528218060,162605.40847363
908188150,134660.871582947
534252110,127251.691526573
909281030,130602.650222907
527354050,183165.593010519
909275020,163856.880168436
907414070,181838.529503891
924151040,269850.509152861
903452025,95440.0133962712
528280130,197250.338998977
528181030,196263.616636748
533221030,185119.934610875
533208070,160262.245490501
902207120,93939.0941970383
533205110,220398.579233591
533212110,150530.095079869
923276250,187730.789869989
527183030,195710.759489135
906402200,303877.858480811
527106140,192079.643946712
535383070,124014.569341282
528174040,196540.356494434
903481130,78500.777582851
528106010,322602.504191224
533223100,146550.939393778
528188090,164157.270282147
526353030,258898.321561144
911103060,112815.144292374
533251120,164271.800494278
533254100,173131.402331933
909426090,170091.774111794
904352190,130737.003410745
910226040,147197.266927396
908130020,144917.532266498
528458130,342579.049559717
907251100,248792.132172031
528429050,228869.508949672
531450030,195470.41939242
535152070,141853.210406666
535402010,171435.1887325
533212020,160969.254088688
528102100,282226.384830685
532376070,119153.673691056
902305090,117680.804776825
909425085,251020.401730013
534177180,242200.641901453
526351100,161438.133607028
528150090,390917.268988495
528348010,231135.023820403
903430060,116087.440287376
534402060,141378.658961184
533206060,184551.209846238
907285010,222122.47063813
907265100,205099.09315559
535327230,106920.440594979
535103050,215424.871844833
528488140,216657.811605994
905352180,231768.768122911
528178070,373923.410103893
531479020,63270.5511022881
907201280,135276.539811792
902103090,120518.996906556
527180040,186668.006545327
902128075,114646.677445212
907290240,146514.079127187
528235190,185428.635618866
527455100,139819.118351655
533130020,232042.988950951
903476090,106247.004597872
533212010,152872.656405631
528292030,281623.461319507
535353240,169345.465455486
535475010,141851.544234219
908127120,119050.582274485
923226320,79872.1292364155
909452050,236231.570859135
905427030,293818.943908133
923225510,132291.689145327
902302150,136680.586950083
528222010,259225.081750347
902106040,185592.511946228
903236040,101294.507430445
527455240,119875.172725261
905227050,132233.018673763
906380180,191959.960599971
923228390,73129.8529305885
527365010,258260.587709854
535376060,136615.029398458
528429080,281479.853867967
905107300,169617.803058658
909475020,228637.354275092
527403310,152006.893466645
528228340,180834.811829818
903231060,38340.4282290546
534202160,149005.251194981
907192150,182869.30812425
527163080,161309.382979463
528228430,197256.354663615
914467050,213461.440416666
